index,Name,Location,Year,Fuel_Type,Transmission,Owner_Type,Seats,Price,age,KM_Driven,make,mileage_new,engine_new,power_new
2,Honda Jazz V,Chennai,2011,Petrol,Manual,First,5,4.5,8,46,honda,18.2,1199,88.7
3,Maruti Ertiga VDI,Chennai,2012,Diesel,Manual,First,7,6,7,87,maruti,20.77,1248,88.76
6,Nissan Micra Diesel XV,Jaipur,2013,Diesel,Manual,First,5,3.5,6,86,nissan,23.08,1461,63.1
9,Tata Indica Vista Quadrajet LS,Chennai,2012,Diesel,Manual,Second,5,1.95,7,65,tata,22.3,1248,74
12,Maruti Swift VDI BSIV,Jaipur,2015,Diesel,Manual,First,5,5.6,4,64,maruti,25.2,1248,74
16,Honda Amaze S i-Dtech,Kochi,2016,Diesel,Manual,First,5,5.4,3,58,honda,25.8,1498,98.6
17,Maruti Swift DDiS VDI,Jaipur,2017,Diesel,Manual,First,5,5.99,2,25,maruti,28.4,1248,74
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,Diesel,Manual,First,5,6.34,5,77,renault,20.45,1461,83.8
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,Diesel,Manual,Second,5,8.25,4,55,maruti,23.65,1248,88.5
23,Hyundai i20 1.2 Magna,Kolkata,2010,Petrol,Manual,First,5,1.87,9,45,hyundai,18.5,1197,80
26,Nissan Micra Diesel XV,Hyderabad,2012,Diesel,Manual,First,5,4.25,7,54,nissan,23.08,1461,63.1
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,Petrol,Manual,Second,5,2.75,6,54,maruti,20.92,998,67.1
28,Honda WRV i-VTEC VX,Kochi,2018,Petrol,Manual,First,5,9.9,1,37,honda,17.5,1199,88.7
35,Maruti Wagon R LXI BSIII,Jaipur,2009,Petrol,Manual,Second,5,1.85,10,83,maruti,14,1061,64
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,Diesel,Manual,First,5,8.63,1,50,maruti,24.3,1248,88.5
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,Petrol,Manual,First,5,4.85,2,52,mahindra,18.15,1198,82
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,Diesel,Manual,First,5,5,6,62,volkswagen,22.07,1199,73.9
40,Maruti Alto LXi,Delhi,2008,Petrol,Manual,Second,5,1.25,11,90,maruti,19.7,796,46.3
41,Tata Nano LX SE,Kochi,2014,Petrol,Manual,First,4,1.53,5,19,tata,25.4,624,37.5
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,Diesel,Manual,First,6,5.58,2,22,mahindra,25.32,1198,77
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,Petrol,Manual,First,5,4.74,5,35,hyundai,18.5,1197,82.9
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,Diesel,Manual,First,5,3.85,5,75,hyundai,24.4,1120,71
51,Maruti Swift LDI,Delhi,2014,Diesel,Manual,First,5,4.25,5,52,maruti,22.9,1248,74
52,Maruti Swift Ldi BSIV,Kolkata,2014,Diesel,Manual,First,5,3.3,5,53,maruti,17.8,1248,75
53,Maruti Swift VDI,Delhi,2013,Diesel,Manual,First,5,3.85,6,65,maruti,28.4,1248,74
54,Hyundai Grand i10 Sportz,Chennai,2015,Petrol,Manual,Third,5,3.6,4,54,hyundai,18.9,1197,82
56,Renault KWID RXT,Kochi,2017,Petrol,Manual,First,5,3.3,2,16,renault,25.17,799,53.3
57,Hyundai i10 Asta,Kolkata,2010,Petrol,Manual,First,5,2.07,9,32,hyundai,20.36,1197,78.9
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,Petrol,Manual,First,5,2.25,9,39,maruti,18.2,998,67.1
61,Ford Figo Diesel Titanium,Bangalore,2010,Diesel,Manual,First,5,2.75,9,72,ford,20,1399,68
64,Tata Indica V2 eLS,Chennai,2016,Diesel,Manual,First,5,2.5,3,178,tata,25,1396,69
66,Honda City ZX CVT,Mumbai,2007,Petrol,Automatic,Second,5,1.85,12,63,honda,16.4,1497,78
68,Maruti Ertiga SHVS VDI,Pune,2016,Diesel,Manual,First,7,8.15,3,63,maruti,24.52,1248,88.5
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,Diesel,Manual,First,5,10.5,1,13,hyundai,22.1,1396,88.7
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,Petrol,Automatic,First,5,3.48,7,45,hyundai,16.95,1197,78.9
74,Honda Brio VX AT,Coimbatore,2016,Petrol,Automatic,Second,5,6.46,3,37,honda,16.5,1198,86.8
80,Maruti Swift VDI,Jaipur,2012,Diesel,Manual,First,5,3.75,7,95,maruti,22.9,1248,74
81,Tata Zest Revotron 1.2T XE,Pune,2017,Petrol,Manual,First,5,4.5,2,70,tata,17.57,1193,88.7
82,Honda Amaze SX i-VTEC,Kochi,2016,Petrol,Manual,First,5,4.82,3,54,honda,18,1198,86.7
83,Ford Figo Diesel ZXI,Hyderabad,2012,Diesel,Manual,First,5,2.8,7,70,ford,20,1399,68
84,Maruti Ritz VDi,Jaipur,2013,Diesel,Manual,First,5,3.11,6,99,maruti,23.2,1248,73.94
87,Hyundai i10 Sportz 1.2,Pune,2009,Petrol,Manual,First,5,2.25,10,95,hyundai,20.36,1197,78.9
88,Hyundai Grand i10 Sportz,Bangalore,2016,Petrol,Manual,First,5,5.75,3,16,hyundai,18.9,1197,82
90,Honda Amaze SX i-VTEC,Mumbai,2016,Petrol,Manual,First,5,5,3,18,honda,17.8,1198,86.7
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,Diesel,Manual,First,5,5.5,6,57,ford,22.7,1498,89.84
95,Honda Amaze SX i-DTEC,Kolkata,2015,Diesel,Manual,First,5,3.5,4,30,honda,25.8,1498,98.6
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,Diesel,Manual,First,5,2.79,6,34,volkswagen,22.07,1199,73.9
98,Maruti Wagon R VXI BS IV,Bangalore,2016,Petrol,Manual,First,5,4.45,3,62,maruti,18.9,998,67.1
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,Diesel,Manual,Second,5,3.8,8,78,hyundai,23,1396,90
101,Hyundai i20 Asta 1.2,Mumbai,2014,Petrol,Manual,First,5,4.65,5,30,hyundai,18.5,1197,82.85
102,Datsun GO Plus T Petrol,Pune,2017,Petrol,Manual,First,7,3.95,2,32,datsun,19.83,1198,67
104,Hyundai i20 2015-2017 Asta,Pune,2009,Petrol,Manual,Second,5,2.7,10,66,hyundai,17,1197,80
105,Maruti Omni 5 Str STD,Coimbatore,2010,Petrol,Manual,First,5,2.41,9,93,maruti,14,796,35
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,Petrol,Manual,First,5,3.9,5,53,toyota,17.71,1197,78.9
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,Petrol,Manual,First,5,3.91,2,38,maruti,15.1,1196,73
112,Tata Nano Twist XT,Bangalore,2014,Petrol,Manual,First,4,2.15,5,25,tata,25.4,624,37.5
